customer_id,customer_name,email,created_at,state_code,acquisition_channel,income_bracket,birth_date,engagement_score
C39,Maria  Coelho,maria_coelho@gmail.com,2023-06-19,S.P.,direct,10k-20k,2002-07-02,96
C40,BEATRIZ  Nevez,beatriz_neves@gmail.com,2023-07-24,Estado de SP,social_media,10k-20k,1969-09-07,62
C41,Vinicius	figueiredo,vinícius_figueiredo@gmail.com,2023-09-19,SP,paid_search,0-2k,1994-04-22,79
C42,GABRIELA	figueiredo,gabriela_figueiredo@gmail.com,2023-07-22,rj,email,2k-5k,1994-03-11,22
C43,Beatriz Dias ,beatriz_dias@gmail.com,2023-08-16,Minas,organic,20k+,1996-10-05,59
C44,Jõao Perera ,joão_pereira@gmail.com,2023-07-02,Brasília,referral,5k-10k,1981-09-19,38
C45, gustav0 Barbosa,gustavo_barbosa@gmail.com,2023-05-02,Estado de SP,email,5k-10k,1974-12-29,52
C46,Isabella   Montero,isabela_monteiro@gmail.com,2023-09-16,DF,referral,20k+,2000-04-13,47
C47,EDUARDA Assis,eduarda_assis@gmail.com,2023-05-14,São Paulo,direct,5k-10k,1986-07-07,60
C48,GABRIELA Lacerda,gabriela_lacerda@gmail.com,2023-05-16,Minas,social_media,10k-20k,1971-08-18,6
C49,Amanda Bezerra ,amanda_bezerra@gmail.com,2023-11-22,Bahia,direct,2k-5k,1970-06-24,34
C50,carlos	Fonseka,carlos_fonseca@gmail.com,2023-10-03,Santa Catarina,organic,0-2k,1971-08-31,15
C51,BRUNO Godoy ,bruno_godoy@gmail.com,2023-03-27,Bahia,paid_search,10k-20k,1999-02-09,36
C52,ANA  Portoo,ana_porto@gmail.com,2023-09-10,Estado de SP,organic,10k-20k,1978-01-06,15
C53,Gabriela morais,gabriela_morais@gmail.com,2023-04-29,São Paulo,referral,2k-5k,2001-10-29,84
C54, JULIANA duarte,juliana_duarte@gmail.com,2023-09-15,Minas Gerais,organic,5k-10k,1970-11-04,6
C55,Fernanda	Costa,fernanda_costa@gmail.com,2023-04-11,ES,social_media,2k-5k,1999-04-26,8
C56,Patricia  Moreira,patrícia_moreira@gmail.com,2023-05-29,Parana,referral,2k-5k,1979-12-15,27
C57,Gustavo  Azevedo,gustavo_azevedo@gmail.com,2023-12-11,bahia,paid_search,5k-10k,1978-11-17,75
C58,Rafael   Nuness,rafael_nunes@gmail.com,2023-07-16,Minas Gerais,paid_search,0-2k,1990-11-26,49
C59,GABRIELA Moreira,gabriela_moreira@gmail.com,2024-01-01,,direct,2k-5k,1980-08-24,71
C60,Mateus   Mendess,matheus_mendes@gmail.com,2023-01-05,S.P.,organic,2k-5k,1989-01-31,54
C61,Leticia   peixoto,letícia_peixoto@gmail.com,2023-08-06,São Paulo,social_media,5k-10k,1995-09-08,12
C62,JOAO  Borges,joão_borges@gmail.com,2023-05-18,sp,paid_search,5k-10k,1971-11-22,52
C63,Thiago	azevedo,thiago_azevedo@gmail.com,2023-03-27,Estado de SP,organic,5k-10k,1999-11-25,22
C64, Camila vieira,camila_vieira@gmail.com,2023-08-27,Rio Grande do Sul,social_media,2k-5k,2000-08-11,20
C65,JULIANA peixoto ,juliana_peixoto@gmail.com,2023-12-04,São Paulo,direct,5k-10k,1979-10-17,20
C66,Patricia   Bezerra ,patrícia_bezerra@gmail.com,2023-12-02,S.P.,social_media,5k-10k,1993-10-04,11
C67,Letícia   pacheco,letícia_pacheco@gmail.com,2023-05-20,Sao Paulo,email,0-2k,1979-09-05,20
C68,Eduarda  Macedo,eduarda_macedo@gmail.com,2023-07-09,DF,email,2k-5k,1975-07-16,56
C69, JOAO carvalho,joão_carvalho@gmail.com,2023-07-17,Espírito Santo,email,2k-5k,1991-07-16,38
C70, Eduarda carvalho,eduarda_carvalho@gmail.com,2023-07-04,Paraná,paid_search,2k-5k,1977-03-23,23
C71, maria Lacerda,maria_lacerda@gmail.com,2023-05-16,sp,social_media,5k-10k,1973-07-29,47
C72,bruno  Godoi,bruno_godoy@gmail.com,2023-10-10,SC,referral,10k-20k,1970-04-01,21
C73,JOAO duarte ,joão_duarte@gmail.com,2023-02-01,Rio,direct,20k+,1974-04-03,47
C74,CARLOS  Vieyra,carlos_vieira@gmail.com,2023-01-08,Rio Grande do Sul,paid_search,10k-20k,1995-12-08,63
C75,gustav0	santana,gustavo_santana@gmail.com,2023-03-16,Minas,social_media,0-2k,1999-09-28,13
C76,Carlos Martins ,carlos_martins@gmail.com,2023-01-21,S.P.,direct,20k+,1975-10-06,8
C77,Camila	souza,camila_souza@gmail.com,2023-04-16,Bahia,organic,2k-5k,1982-12-28,1
C78, JOAO Soza,joão_souza@gmail.com,2023-07-10,M.G.,paid_search,0-2k,1999-01-18,27
C79,RAFAEL cardoso,rafael_cardoso@gmail.com,2023-12-20,Estado de SP,direct,0-2k,1973-09-05,99
C80,Leticia   Amaral ,letícia_amaral@gmail.com,2023-01-10,Espirito Santo,organic,5k-10k,1986-05-24,14
C81,lucas	Camposs,lucas_campos@gmail.com,2023-07-21,SP,email,2k-5k,1988-11-08,51
C82,Thiago  Figueiredo,thiago_figueiredo@gmail.com,2023-05-02, ,organic,2k-5k,1989-08-08,9
C83,João azevedo ,joão_azevedo@gmail.com,2023-06-24,Rio Grande do Sul,email,5k-10k,1995-02-27,27
C84,Vinícius  Martins,vinícius_martins@gmail.com,2023-07-17,RJ,email,2k-5k,1993-06-04,70
C85, Isabella pereira,isabela_pereira@gmail.com,2023-10-05,PR,referral,0-2k,1970-06-28,25
C86,Bruno Dias,bruno_dias@gmail.com,2023-09-01,ES,email,0-2k,2001-05-13,73
C87,BRUNO	Lopes ,bruno_lopes@gmail.com,2023-11-20,,social_media,5k-10k,1977-02-18,16
C88,PATRICIA	xavier,patrícia_xavier@gmail.com,2023-06-27,Santa Catarina,paid_search,2k-5k,2003-12-27,26
C89,carlos correia,carlos_correia@gmail.com,2023-08-27,DF,paid_search,2k-5k,2001-12-14,17
C90,PATRICIA Santana ,patrícia_santana@gmail.com,2023-11-23,Sao Paulo,referral,2k-5k,1973-01-15,13
C91,RAFAEL	Santana,rafael_santana@gmail.com,2023-01-19,S.P.,social_media,5k-10k,1997-08-01,54
C92,bruno oliveira,bruno_oliveira@gmail.com,2023-11-03,Goiás,paid_search,20k+,1990-04-16,83
C93, ANA Freitas,ana_freitas@gmail.com,2023-12-15,Minas,referral,5k-10k,1987-02-25,98
C94,EDUARDA	Borges,eduarda_borges@gmail.com,2023-10-03,RS,paid_search,0-2k,1972-02-27,15
C95, Camila pinto,camila_pinto@gmail.com,2023-12-28,São Paulo,referral,0-2k,1991-02-24,0
C96,Patricia  Martins,patrícia_martins@gmail.com,2023-09-10,Distrito Federal,organic,0-2k,1998-08-01,26
C97,Vinicius  Dias,vinícius_dias@gmail.com,2023-02-11,Goiás,referral,2k-5k,1993-03-31,35
C98, CARLOS Bezerra ,carlos_bezerra@gmail.com,2023-04-05,sp,referral,0-2k,1989-09-03,31
C99,Rodrigo   Souza,rodrigo_souza@gmail.com,2023-12-18,Rio,email,20k+,1973-11-18,86
C100,CAMILA	pereira,camila_pereira@gmail.com,2023-03-01,sp,referral,10k-20k,1999-08-07,47
C101,Fernanda Godoy,fernanda_godoy@gmail.com,2023-11-10,Minas Gerais,email,10k-20k,1976-04-01,65
C102,RODRIGO   Queiroz,rodrigo_queiroz@gmail.com,2023-05-01,SP,social_media,2k-5k,1993-04-17,23
C103,Maria Cardozo,maria_cardoso@gmail.com,2023-10-21,São Paulo,email,5k-10k,1993-05-25,74
C104, Rafael Assis,rafael_assis@gmail.com,2023-10-12,rj,email,0-2k,1993-06-19,24
C105,Bruno   Lacerdda,bruno_lacerda@gmail.com,2023-02-15,Rio,email,5k-10k,1983-03-10,78
C106,gustav0   Santanna,gustavo_santana@gmail.com,2023-05-09,São Paulo,organic,10k-20k,1977-01-07,6
C107,Rafael  Farias,rafael_farias@gmail.com,2023-11-24,rj,email,10k-20k,1998-04-04,37
C108, GABRIELA neves,gabriela_neves@gmail.com,2023-03-18,sp,social_media,10k-20k,1977-09-02,18
C109,Mateus  Queiroz ,matheus_queiroz@gmail.com,2023-05-20,ES,social_media,0-2k,1984-09-01,89
C110, Gustavo batista,gustavo_batista@gmail.com,2023-06-12,Rio de Janeiro,email,5k-10k,1977-04-05,51
C111,gustav0   Godoi,gustavo_godoy@gmail.com,2023-03-30,BA,organic,0-2k,1992-06-04,64
C112,gustav0   correia,gustavo_correia@gmail.com,2023-08-30,Estado de SP,organic,10k-20k,1975-08-09,52
C113,Gabriela  porto,gabriela_porto@gmail.com,2023-08-22,DF,organic,0-2k,1997-06-21,95
C114,BEATRIZ	Farias,beatriz_farias@gmail.com,2023-01-16,BR,organic,10k-20k,1994-10-04,82
C115,Mária Santanna ,maria_santana@gmail.com,2023-08-19,sp,social_media,5k-10k,1976-12-14,63
C116,GABRIELA Lacerda ,gabriela_lacerda@gmail.com,2023-09-15,BA,organic,20k+,1997-09-30,28
C117,Isabela	porto,isabela_porto@gmail.com,2023-07-31,bahia,social_media,5k-10k,1978-02-18,57
C118, EDUARDA Cunha,eduarda_cunha@gmail.com,2023-03-25,Rio,referral,5k-10k,1979-04-25,29
C119, João batista,joão_batista@gmail.com,2023-01-29,Estado de SP,social_media,2k-5k,1971-04-05,69
C120, Isabella Xav ier,isabela_xavier@gmail.com,2023-04-09,SP,email,2k-5k,1997-10-16,97
C121,FERNANDA  castro,fernanda_castro@gmail.com,2023-09-16,São Paulo,organic,20k+,1992-01-27,78
C122,ana   Macedo,ana_macedo@gmail.com,2023-01-27,Estado de SP,direct,5k-10k,1984-08-05,80
C123,Isabela	Santo,isabela_santos@gmail.com,2023-03-30,Minas Gerais,direct,10k-20k,1983-04-13,73
C124,Rodrigo Freitas ,rodrigo_freitas@gmail.com,2023-11-06,S.P.,social_media,0-2k,1972-07-01,84
C125, Carlos pacheco,carlos_pacheco@gmail.com,2023-02-09,Espirito Santo,direct,10k-20k,1976-08-22,94
C126,Isabela Montero ,isabela_monteiro@gmail.com,2023-06-03,SP,referral,2k-5k,1994-02-05,99
C127, BRUNO Barbosa,bruno_barbosa@gmail.com,2023-11-22,Paraná,organic,5k-10k,1974-12-14,98
C128,João   Santana,joão_santana@gmail.com,2024-01-01,Estado de SP,social_media,2k-5k,1981-02-20,54
C129,Letícia farias,letícia_farias@gmail.com,2023-09-16,São Paulo,paid_search,20k+,1974-12-04,72
C130,Vinicius dias,vinícius_dias@gmail.com,2023-10-09,Brasil,email,2k-5k,1993-07-17,15
C131,Beatriz  Oliveira,beatriz_oliveira@gmail.com,2023-12-14,Rio de Janeiro,email,2k-5k,1972-07-12,76
C132,Patricia	Assiz,patrícia_assis@gmail.com,2023-08-29,BA,referral,10k-20k,1976-06-30,11
C133,Mateus	Araújo,matheus_araújo@gmail.com,2023-07-14,Sao Paulo,email,0-2k,1975-02-12,93
C134,gustav0   godoy,gustavo_godoy@gmail.com,2023-07-31,Estado de SP,email,2k-5k,1975-05-25,79
C135,João Morais,joão_morais@gmail.com,2023-06-22,Rio Grande do Sul,paid_search,10k-20k,1992-02-08,30
C136, Lucas Bragga,lucas_braga@gmail.com,2023-12-18,Minas,email,10k-20k,2004-10-21,89
C137,CAMILA  Carvalho,camila_carvalho@gmail.com,2023-11-29,PR,direct,20k+,1974-10-11,44
C138,Gabriela andrade,gabriela_andrade@gmail.com,2023-02-24,Sao Paulo,social_media,20k+,1989-06-28,66
C139,RAFAEL Silva,rafael_silva@gmail.com,2023-05-21,Santa Catarina,referral,2k-5k,1981-11-27,18
C140,Matheus Correa,matheus_correia@gmail.com,2023-12-09,rj,paid_search,20k+,2001-08-05,89
C141,ANA Duart ,ana_duarte@gmail.com,2023-08-11,DF,organic,2k-5k,1973-12-05,21
C142,RAFAEL fonseca ,rafael_fonseca@gmail.com,2023-01-03,bahia,email,10k-20k,1982-11-22,48
C143,lucas  Goncalves,lucas_gonçalves@gmail.com,2023-08-31,Santa Catarina,organic,0-2k,1980-03-08,7
C144,Thiago	Azevedo,thiago_azevedo@gmail.com,2023-04-30,Rio de Janeiro,organic,20k+,1992-12-07,91
C145,JOAO Machado ,joão_machado@gmail.com,2023-01-04,Minas,organic,5k-10k,1972-07-10,80
C146,João   monteiro,joão_monteiro@gmail.com,2023-07-11,SP,email,2k-5k,1980-03-03,33
C147,Lucas  Faria,lucas_farias@gmail.com,2023-11-30,Espírito Santo,organic,2k-5k,1992-12-14,24
C148,bruno   Castro ,bruno_castro@gmail.com,2023-09-08,rj,social_media,2k-5k,1998-01-19,48
C149,Thiago   oliveira,thiago_oliveira@gmail.com,2023-01-05,SP,social_media,2k-5k,1997-01-29,22
C150,carlos	aguiar,carlos_aguiar@gmail.com,2023-07-10,SP,direct,20k+,1982-03-11,33
C151,An4   Porto,ana_porto@gmail.com,2023-12-12,DF,organic,10k-20k,1971-05-21,5
C152,JOAO Aguiar,joão_aguiar@gmail.com,2023-03-19,Bahia,direct,10k-20k,1982-11-15,98
C153,Mateus  Fonseka,matheus_fonseca@gmail.com,2023-05-14,Paraná,email,5k-10k,1998-11-18,2
C154,lucas   miranda,lucas_miranda@gmail.com,2023-03-19,PR,referral,2k-5k,1986-06-13,41
C155,carlos  machado,carlos_machado@gmail.com,2023-07-22,S.P.,direct,0-2k,1985-08-04,33
C156,Fernanda Santana ,fernanda_santana@gmail.com,2023-05-02,S.P.,email,20k+,1991-10-01,80
C157,Fernanda Aguiar ,fernanda_aguiar@gmail.com,2023-04-17,São Paulo,direct,10k-20k,1989-10-16,48
C158,Gabriela Queiroz ,gabriela_queiroz@gmail.com,2023-02-16,Sao Paulo,referral,0-2k,1969-04-02,27
C159,Isabela fonseca ,isabela_fonseca@gmail.com,2023-07-23,sp,organic,10k-20k,1978-01-03,64
C160,AMANDA	Machado,amanda_machado@gmail.com,2023-10-27,GO,referral,5k-10k,1990-10-23,37
C161,ANA Teixeira,ana_teixeira@gmail.com,2023-12-06,Espírito Santo,organic,20k+,1978-01-07,92
C162,Leticia   neves,letícia_neves@gmail.com,2023-02-28,Goiás,referral,10k-20k,1998-04-30,97
C163,bruno	Cunhaa,bruno_cunha@gmail.com,2023-01-05,Paraná,referral,20k+,1992-04-25,74
C164,Bruno	Queiroz,bruno_queiroz@gmail.com,2023-06-20,Minas,direct,2k-5k,1987-05-22,87
C165,MARIA	Miranda,maria_miranda@gmail.com,2023-11-25,SC,email,5k-10k,2003-09-15,87
C166,Isabela   Fonseka,isabela_fonseca@gmail.com,2023-12-24,Estado de SP,email,0-2k,1975-04-15,38
C167,PATRICIA  Montero,patrícia_monteiro@gmail.com,2023-01-07,Rio,paid_search,5k-10k,1971-12-23,29
C168, Fernanda Peixoto,fernanda_peixoto@gmail.com,2023-08-13,Estado de SP,paid_search,10k-20k,1969-05-17,11
C169, Vinícius Bezerra ,vinícius_bezerra@gmail.com,2023-01-25,Brasília,paid_search,20k+,1988-10-10,1
C170,Rafael	Dias,rafael_dias@gmail.com,2023-04-25,RJ,social_media,0-2k,1972-12-14,14
C171,João	Gonçalves,joão_gonçalves@gmail.com,2023-01-26,M.G.,social_media,5k-10k,1975-07-16,95
C172,Jõao	Gomes,joão_gomes@gmail.com,2023-03-21,Minas Gerais,direct,5k-10k,1986-03-31,97
C173,LUCAS Morais  ,lucas_morais@gmail.com,2023-03-07,RJ,paid_search,10k-20k,1992-09-06,92
C174,Carl0s Costa ,carlos_costa@gmail.com,2023-12-30,S.P.,referral,20k+,1987-02-19,18
C175,carlos   Pacheco,carlos_pacheco@gmail.com,2023-03-04,Minas,email,10k-20k,1979-12-24,69
C176,FERNANDA	Porto,fernanda_porto@gmail.com,2023-08-29,S.P.,email,10k-20k,1988-08-02,42
C177,Beatriz Cunhaa,beatriz_cunha@gmail.com,2023-12-24,Estado de SP,social_media,10k-20k,1999-01-29,35
C178,FERNANDA Miranda,fernanda_miranda@gmail.com,2023-09-27,DF,email,2k-5k,1989-05-02,65
C179,Maria Gomes,maria_gomes@gmail.com,2023-01-28,São Paulo,organic,2k-5k,1981-09-23,72
C180,Eduarda  Amaral ,eduarda_amaral@gmail.com,2023-04-02,SP,paid_search,20k+,1977-01-22,32
C181,RAFAEL Neves ,rafael_neves@gmail.com,2023-02-12,sp,email,5k-10k,1991-12-25,82
C182,Letícia assis ,letícia_assis@gmail.com,2023-11-20,rj,referral,5k-10k,1977-02-25,73
C183, Fernanda macedo,fernanda_macedo@gmail.com,2023-03-31,Rio Grande do Sul,social_media,20k+,2003-10-18,96
C184,Camila  bezerra,camila_bezerra@gmail.com,2023-06-14,DF,email,2k-5k,1999-09-13,78
C185,MARIA	Salles,maria_sales@gmail.com,2023-04-11,São Paulo,direct,20k+,1998-04-29,50
C186, Leticia Queiroz ,letícia_queiroz@gmail.com,2023-04-15,DF,direct,5k-10k,1981-06-20,59
C187,Patricia  coelho,patrícia_coelho@gmail.com,2023-07-25,SP,referral,2k-5k,1976-03-24,92
C188,CARLOS   Queiroz,carlos_queiroz@gmail.com,2023-08-27,Estado de SP,direct,0-2k,1972-06-15,18
C189,An4 Lacerdda ,ana_lacerda@gmail.com,2023-10-27,Espírito Santo,referral,5k-10k,1996-07-18,93
C190,Mateus   Porto,matheus_porto@gmail.com,2023-07-26,SC,email,2k-5k,1993-08-28,6
C191,bruno	SILVA,bruno_silva@gmail.com,2023-01-27,S.P.,email,10k-20k,1980-08-03,5
C192,João santos ,joão_santos@gmail.com,2023-09-08,bahia,paid_search,2k-5k,1980-04-27,26
C193,João  souza,joão_souza@gmail.com,2023-08-30,S.P.,paid_search,10k-20k,1982-08-21,99
C194,joao Ribeiro ,joão_ribeiro@gmail.com,2023-07-03,DF,email,5k-10k,1974-04-07,48
C195,maria	Barbosa,maria_barbosa@gmail.com,2023-06-01,Estado de SP,organic,5k-10k,2000-02-14,62
C196,RODRIGO  pereira,rodrigo_pereira@gmail.com,2023-12-19,São Paulo,organic,2k-5k,1971-07-16,54
C197,AMANDA Gonçalvez ,amanda_gonçalves@gmail.com,2023-06-24,Rio Grande do Sul,direct,2k-5k,1971-01-11,2
C198,BEATRIZ Macêdo,beatriz_macedo@gmail.com,2023-03-23,PR,paid_search,0-2k,2001-12-01,64
C199,JULIANA  Mirranda,juliana_miranda@gmail.com,2023-12-27,sp,email,0-2k,1997-07-19,67
C200,GABRIELA  borges,gabriela_borges@gmail.com,2023-10-16,Rio,referral,5k-10k,1987-02-16,97
C201,CARLOS Carvalho,carlos_carvalho@gmail.com,2023-04-07,São Paulo,social_media,0-2k,1983-08-31,42
C202,PATRICIA	santos,patrícia_santos@gmail.com,2023-10-18,S.P.,email,0-2k,1984-12-05,10
C203,Letícia	Araujo,letícia_araújo@gmail.com,2023-04-16,S.P.,referral,10k-20k,1972-01-02,68
C204,RODRIGO   Costa,rodrigo_costa@gmail.com,2023-09-09,Minas,direct,20k+,1980-11-22,92
C205,fernanda monteiro,fernanda_monteiro@gmail.com,2023-07-01,S.P.,organic,5k-10k,1981-09-23,7
C206,LUCAS   Lopes ,lucas_lopes@gmail.com,2023-01-21,Estado de SP,social_media,20k+,1993-06-30,3
C207,Jõao Montero ,joão_monteiro@gmail.com,2023-10-19,Santa Catarina,paid_search,0-2k,1977-01-14,92
C208,Leticia Franco ,letícia_franco@gmail.com,2023-10-21,Minas,referral,20k+,1981-01-28,40
C209, BEATRIZ Castro,beatriz_castro@gmail.com,2023-10-26,Bahia,email,0-2k,2002-10-26,6
C210,Juliana  lopes,juliana_lopes@gmail.com,2023-01-25,sp,organic,20k+,1993-11-09,10
C211,Isabella   Cardozo,isabela_cardoso@gmail.com,2023-02-27,SP,organic,5k-10k,2001-03-11,55
C212, Patricia Pereira,patrícia_pereira@gmail.com,2023-01-19,RJ,paid_search,0-2k,1982-07-13,20
C213,JULIANA   peixoto,juliana_peixoto@gmail.com,2023-05-18,S.P.,email,0-2k,1980-09-02,5
C214,ana   coelho,ana_coelho@gmail.com,2023-05-25,Estado de SP,email,10k-20k,1984-10-23,63
C215,ana Castro ,ana_castro@gmail.com,2023-07-14,Brasília,email,20k+,1989-11-03,41
C216,ANA dias,ana_dias@gmail.com,2023-10-01,sp,social_media,0-2k,1983-02-18,86
C217, Eduarda Santos,eduarda_santos@gmail.com,2023-02-07,Espirito Santo,social_media,20k+,1986-07-04,48
C218, Rodrigo Barros,rodrigo_barros@gmail.com,2023-06-07,GO,email,20k+,1979-08-24,2
C219,CARLOS   santos,carlos_santos@gmail.com,2023-03-20,SP,organic,5k-10k,1992-04-05,90
C220,Patricia Queiroz  ,patrícia_queiroz@gmail.com,2023-10-18,bahia,paid_search,5k-10k,1994-03-02,78
C221,gustav0	Freita,gustavo_freitas@gmail.com,2023-12-06,Estado de SP,referral,0-2k,1994-07-01,80
C222,Mateus sales,matheus_sales@gmail.com,2023-11-04,Estado de SP,referral,0-2k,1976-04-16,13
C223,CAMILA	Machado,camila_machado@gmail.com,2023-07-15,Estado de SP,paid_search,10k-20k,1973-07-01,61
C224,BRUNO Sales ,bruno_sales@gmail.com,2023-12-20,SP,organic,20k+,2000-05-12,31
C225,bruno  Dias,bruno_dias@gmail.com,2023-08-29,SC,direct,2k-5k,1973-07-20,22
C226,Ana souza,ana_souza@gmail.com,2023-08-08,RS,social_media,2k-5k,1978-10-05,89
C227,Letícia   Peixoto,letícia_peixoto@gmail.com,2023-01-27,Parana,paid_search,10k-20k,1984-09-20,21
C228,Juliana   Bezerra,juliana_bezerra@gmail.com,2023-04-04,Parana,paid_search,5k-10k,1989-03-03,31
C229,MARIA neves,maria_neves@gmail.com,2023-06-12,Estado de SP,paid_search,2k-5k,1983-07-20,93
C230,maria Carvalho,maria_carvalho@gmail.com,2023-07-29,,social_media,5k-10k,1973-12-16,65
C231,Jõao  Gonçalves,joão_gonçalves@gmail.com,2023-09-12,Paraná,paid_search,2k-5k,1986-09-02,41
C232,carlos	santos,carlos_santos@gmail.com,2023-04-18,SC,paid_search,10k-20k,1988-06-01,84
C233, RODRIGO andrade,rodrigo_andrade@gmail.com,2023-12-22,BA,referral,5k-10k,1970-02-01,98
C234,carlos  Nuness,carlos_nunes@gmail.com,2023-05-06,PR,social_media,0-2k,1977-09-26,65
C235, An4 Souza,ana_souza@gmail.com,2023-10-13,bahia,paid_search,20k+,1982-10-23,72
C236,Patricia Fonseca,patrícia_fonseca@gmail.com,2023-07-25,Parana,email,10k-20k,1988-01-02,67
C237,FERNANDA  Peixoto,fernanda_peixoto@gmail.com,2023-11-09,,email,20k+,1981-06-24,8
C238,gustav0	Xavier,gustavo_xavier@gmail.com,2023-04-14,Parana,direct,0-2k,2001-11-21,43
C239,Mária  godoy,maria_godoy@gmail.com,2023-08-30,rj,paid_search,2k-5k,2002-04-08,9
C240,João Santanna ,joão_santana@gmail.com,2023-12-20,Sao Paulo,referral,10k-20k,1974-03-18,57
C241,lucas Paivah ,lucas_paiva@gmail.com,2023-12-27,BR,organic,0-2k,1985-01-22,71
C242,JULIANA   lacerda,juliana_lacerda@gmail.com,2023-05-13,Rio Grande do Sul,organic,5k-10k,1974-05-23,55
C243, Jõao franco,joão_franco@gmail.com,2023-11-13,S.P.,social_media,5k-10k,1989-01-02,16
C244,ANA	Castro,ana_castro@gmail.com,2023-01-12,Minas Gerais,direct,10k-20k,1998-06-13,50
